,County Code,Year,target_state,State,County,Population,Total Deaths By Overdose
6887,20091.0,2010.0,1,KS,Johnson County,545655.0,34.0
6932,20173.0,2010.0,1,KS,Sedgwick County,499128.0,40.0
6936,20177.0,2010.0,1,KS,Shawnee County,178360.0,19.0
6954,20209.0,2010.0,1,KS,Wyandotte County,157633.0,16.0
6956,22001.0,2010.0,1,LA,Acadia Parish,61877.0,13.0
6964,22015.0,2010.0,1,LA,Bossier Parish,117675.0,12.0
6966,22017.0,2010.0,1,LA,Caddo Parish,255590.0,20.0
6969,22019.0,2010.0,1,LA,Calcasieu Parish,193026.0,19.0
6978,22033.0,2010.0,1,LA,East Baton Rouge Parish,440912.0,31.0
6989,22051.0,2010.0,1,LA,Jefferson Parish,432610.0,58.0
6993,22055.0,2010.0,1,LA,Lafayette Parish,222315.0,30.0
6995,22057.0,2010.0,1,LA,Lafourche Parish,96745.0,19.0
6998,22063.0,2010.0,1,LA,Livingston Parish,128337.0,35.0
7003,22071.0,2010.0,1,LA,Orleans Parish,347772.0,17.0
7006,22073.0,2010.0,1,LA,Ouachita Parish,153969.0,12.0
7011,22079.0,2010.0,1,LA,Rapides Parish,131760.0,10.0
7021,22095.0,2010.0,1,LA,St. John the Baptist Parish,45591.0,10.0
7026,22103.0,2010.0,1,LA,St. Tammany Parish,234544.0,42.0
7029,22105.0,2010.0,1,LA,Tangipahoa Parish,121485.0,29.0
7032,22109.0,2010.0,1,LA,Terrebonne Parish,111506.0,22.0
7059,28033.0,2010.0,1,MS,DeSoto County,161778.0,13.0
7067,28047.0,2010.0,1,MS,Harrison County,187859.0,30.0
7076,28059.0,2010.0,1,MS,Jackson County,139469.0,41.0
7102,28109.0,2010.0,1,MS,Pearl River County,55693.0,12.0
7109,28121.0,2010.0,1,MS,Rankin County,142515.0,25.0
7140,40017.0,2010.0,1,OK,Canadian County,116361.0,12.0
7143,40019.0,2010.0,1,OK,Carter County,47813.0,11.0
7148,40027.0,2010.0,1,OK,Cleveland County,257085.0,31.0
7152,40031.0,2010.0,1,OK,Comanche County,125397.0,13.0
7157,40037.0,2010.0,1,OK,Creek County,70248.0,16.0
7188,40097.0,2010.0,1,OK,Mayes County,41314.0,11.0
7191,40101.0,2010.0,1,OK,Muskogee County,71129.0,16.0
7196,40109.0,2010.0,1,OK,Oklahoma County,720762.0,153.0
7211,40131.0,2010.0,1,OK,Rogers County,87017.0,10.0
7214,40135.0,2010.0,1,OK,Sequoyah County,42509.0,11.0
7219,40143.0,2010.0,1,OK,Tulsa County,604973.0,140.0
7223,40145.0,2010.0,1,OK,Wagoner County,73426.0,20.0
7242,48027.0,2010.0,1,TX,Bell County,312849.0,22.0
7245,48029.0,2010.0,1,TX,Bexar County,1722838.0,186.0
7252,48039.0,2010.0,1,TX,Brazoria County,314428.0,24.0
7255,48041.0,2010.0,1,TX,Brazos County,195666.0,11.0
7266,48061.0,2010.0,1,TX,Cameron County,407630.0,13.0
7280,48085.0,2010.0,1,TX,Collin County,787614.0,53.0
7286,48091.0,2010.0,1,TX,Comal County,109306.0,18.0
7298,48113.0,2010.0,1,TX,Dallas County,2372993.0,213.0
7307,48121.0,2010.0,1,TX,Denton County,666760.0,43.0
7316,48135.0,2010.0,1,TX,Ector County,137075.0,15.0
7320,48139.0,2010.0,1,TX,Ellis County,150367.0,10.0
7322,48141.0,2010.0,1,TX,El Paso County,803576.0,46.0
7332,48157.0,2010.0,1,TX,Fort Bend County,590253.0,32.0
7339,48167.0,2010.0,1,TX,Galveston County,292484.0,48.0
7347,48181.0,2010.0,1,TX,Grayson County,121034.0,14.0
7353,48187.0,2010.0,1,TX,Guadalupe County,132587.0,11.0
7360,48199.0,2010.0,1,TX,Hardin County,54784.0,11.0
7362,48201.0,2010.0,1,TX,Harris County,4107666.0,445.0
7370,48209.0,2010.0,1,TX,Hays County,158214.0,16.0
7374,48213.0,2010.0,1,TX,Henderson County,78665.0,10.0
7376,48215.0,2010.0,1,TX,Hidalgo County,779149.0,14.0
7382,48223.0,2010.0,1,TX,Hopkins County,35208.0,10.0
7394,48245.0,2010.0,1,TX,Jefferson County,252455.0,34.0
7399,48251.0,2010.0,1,TX,Johnson County,151264.0,11.0
7417,48291.0,2010.0,1,TX,Liberty County,75859.0,12.0
7423,48303.0,2010.0,1,TX,Lubbock County,280301.0,19.0
7428,48309.0,2010.0,1,TX,McLennan County,235917.0,14.0
7439,48329.0,2010.0,1,TX,Midland County,136974.0,12.0
7446,48339.0,2010.0,1,TX,Montgomery County,459208.0,30.0
7456,48355.0,2010.0,1,TX,Nueces County,340245.0,45.0
7461,48361.0,2010.0,1,TX,Orange County,82012.0,25.0
7465,48367.0,2010.0,1,TX,Parker County,117316.0,17.0
7494,48423.0,2010.0,1,TX,Smith County,210408.0,17.0
7503,48439.0,2010.0,1,TX,Tarrant County,1817480.0,134.0
7507,48441.0,2010.0,1,TX,Taylor County,131835.0,12.0
7512,48451.0,2010.0,1,TX,Tom Green County,110678.0,20.0
7515,48453.0,2010.0,1,TX,Travis County,1030503.0,118.0
7532,48479.0,2010.0,1,TX,Webb County,251370.0,23.0
7537,48485.0,2010.0,1,TX,Wichita County,131794.0,16.0
7542,48491.0,2010.0,1,TX,Williamson County,426287.0,27.0
7555,53005.0,2010.0,1,WA,Benton County,176465.0,10.0
7558,53007.0,2010.0,1,WA,Chelan County,72750.0,11.0
7560,53009.0,2010.0,1,WA,Clallam County,71503.0,11.0
7563,53011.0,2010.0,1,WA,Clark County,426704.0,50.0
7568,53015.0,2010.0,1,WA,Cowlitz County,102358.0,14.0
7582,53033.0,2010.0,1,WA,King County,1938351.0,238.0
7587,53035.0,2010.0,1,WA,Kitsap County,251681.0,19.0
7592,53057.0,2010.0,1,WA,Skagit County,116944.0,16.0
7596,53061.0,2010.0,1,WA,Snohomish County,715500.0,108.0
7600,53063.0,2010.0,1,WA,Spokane County,472081.0,75.0
7605,53067.0,2010.0,1,WA,Thurston County,253001.0,22.0
7610,53073.0,2010.0,1,WA,Whatcom County,201545.0,14.0
7614,53077.0,2010.0,1,WA,Yakima County,244256.0,24.0
7625,55025.0,2010.0,1,WI,Dane County,489218.0,51.0
7628,55027.0,2010.0,1,WI,Dodge County,88728.0,11.0
7635,55039.0,2010.0,1,WI,Fond du Lac County,101576.0,12.0
7646,55059.0,2010.0,1,WI,Kenosha County,166626.0,27.0
7650,55063.0,2010.0,1,WI,La Crosse County,114872.0,10.0
7663,55105.0,2010.0,1,WI,Rock County,160260.0,17.0
7676,55127.0,2010.0,1,WI,Walworth County,102197.0,13.0
7681,55133.0,2010.0,1,WI,Waukesha County,390028.0,44.0
7687,55139.0,2010.0,1,WI,Winnebago County,167073.0,12.0
7696,4005.0,2011.0,1,AZ,Coconino County,134275.0,16.0
7705,4013.0,2011.0,1,AZ,Maricopa County,3874996.0,627.0
7712,4015.0,2011.0,1,AZ,Mohave County,202812.0,52.0
7716,4017.0,2011.0,1,AZ,Navajo County,107552.0,11.0
7720,4019.0,2011.0,1,AZ,Pima County,988381.0,184.0
7724,4021.0,2011.0,1,AZ,Pinal County,378041.0,33.0
7728,4025.0,2011.0,1,AZ,Yavapai County,211044.0,44.0
7731,4027.0,2011.0,1,AZ,Yuma County,202841.0,20.0
7734,8001.0,2011.0,1,CO,Adams County,452201.0,88.0
7739,8005.0,2011.0,1,CO,Arapahoe County,585968.0,72.0
7746,8013.0,2011.0,1,CO,Boulder County,299957.0,38.0
7759,8031.0,2011.0,1,CO,Denver County,620530.0,163.0
7766,8035.0,2011.0,1,CO,Douglas County,292548.0,28.0
7772,8041.0,2011.0,1,CO,El Paso County,637305.0,94.0
7783,8059.0,2011.0,1,CO,Jefferson County,540506.0,72.0
7791,8069.0,2011.0,1,CO,Larimer County,305246.0,43.0
7797,8077.0,2011.0,1,CO,Mesa County,147174.0,25.0
7812,8101.0,2011.0,1,CO,Pueblo County,160184.0,20.0
7824,8123.0,2011.0,1,CO,Weld County,258827.0,31.0
7873,20091.0,2011.0,1,KS,Johnson County,552907.0,39.0
7917,20173.0,2011.0,1,KS,Sedgwick County,501011.0,45.0
7921,20177.0,2011.0,1,KS,Shawnee County,178948.0,18.0
7939,20209.0,2011.0,1,KS,Wyandotte County,158011.0,10.0
7942,22001.0,2011.0,1,LA,Acadia Parish,61865.0,10.0
7945,22005.0,2011.0,1,LA,Ascension Parish,110075.0,11.0
7952,22017.0,2011.0,1,LA,Caddo Parish,256967.0,26.0
7955,22019.0,2011.0,1,LA,Calcasieu Parish,193861.0,16.0
7964,22033.0,2011.0,1,LA,East Baton Rouge Parish,441564.0,24.0
7974,22051.0,2011.0,1,LA,Jefferson Parish,434089.0,80.0
7978,22055.0,2011.0,1,LA,Lafayette Parish,224673.0,27.0
7980,22057.0,2011.0,1,LA,Lafourche Parish,97078.0,14.0
7983,22063.0,2011.0,1,LA,Livingston Parish,129828.0,33.0
7988,22071.0,2011.0,1,LA,Orleans Parish,360735.0,40.0
7994,22079.0,2011.0,1,LA,Rapides Parish,132020.0,15.0
8007,22103.0,2011.0,1,LA,St. Tammany Parish,236846.0,39.0
8009,22105.0,2011.0,1,LA,Tangipahoa Parish,122700.0,20.0
8012,22109.0,2011.0,1,LA,Terrebonne Parish,111635.0,17.0
8039,28033.0,2011.0,1,MS,DeSoto County,164075.0,11.0
8048,28047.0,2011.0,1,MS,Harrison County,191070.0,40.0
8056,28059.0,2011.0,1,MS,Jackson County,140029.0,30.0
8089,28121.0,2011.0,1,MS,Rankin County,144207.0,24.0
8120,40017.0,2011.0,1,OK,Canadian County,119397.0,17.0
8122,40019.0,2011.0,1,OK,Carter County,48067.0,15.0
8127,40027.0,2011.0,1,OK,Cleveland County,262064.0,28.0
8131,40031.0,2011.0,1,OK,Comanche County,126075.0,12.0
8136,40037.0,2011.0,1,OK,Creek County,70651.0,18.0
8158,40079.0,2011.0,1,OK,Le Flore County,50504.0,14.0
8170,40101.0,2011.0,1,OK,Muskogee County,70763.0,15.0
8176,40109.0,2011.0,1,OK,Oklahoma County,730808.0,142.0
8186,40119.0,2011.0,1,OK,Payne County,78238.0,10.0
8189,40123.0,2011.0,1,OK,Pontotoc County,37749.0,14.0
8191,40125.0,2011.0,1,OK,Pottawatomie County,70059.0,10.0
8202,40143.0,2011.0,1,OK,Tulsa County,609204.0,104.0
8205,40145.0,2011.0,1,OK,Wagoner County,74035.0,11.0
8207,40147.0,2011.0,1,OK,Washington County,51362.0,11.0
8225,48027.0,2011.0,1,TX,Bell County,315799.0,20.0
8228,48029.0,2011.0,1,TX,Bexar County,1755361.0,263.0
8236,48039.0,2011.0,1,TX,Brazoria County,319147.0,36.0
8239,48041.0,2011.0,1,TX,Brazos County,197450.0,19.0
8263,48085.0,2011.0,1,TX,Collin County,812540.0,68.0
8270,48091.0,2011.0,1,TX,Comal County,112113.0,10.0
8282,48113.0,2011.0,1,TX,Dallas County,2408697.0,238.0
8292,48121.0,2011.0,1,TX,Denton County,685740.0,70.0
8302,48135.0,2011.0,1,TX,Ector County,139642.0,16.0
8307,48141.0,2011.0,1,TX,El Paso County,819896.0,52.0
8317,48157.0,2011.0,1,TX,Fort Bend County,606064.0,30.0
8324,48167.0,2011.0,1,TX,Galveston County,295605.0,42.0
8332,48181.0,2011.0,1,TX,Grayson County,121430.0,17.0
8334,48183.0,2011.0,1,TX,Gregg County,122656.0,13.0
8337,48187.0,2011.0,1,TX,Guadalupe County,135809.0,11.0
8345,48201.0,2011.0,1,TX,Harris County,4179568.0,379.0
8358,48215.0,2011.0,1,TX,Hidalgo County,795517.0,18.0
8375,48245.0,2011.0,1,TX,Jefferson County,253494.0,31.0
8380,48251.0,2011.0,1,TX,Johnson County,152094.0,12.0
8388,48265.0,2011.0,1,TX,Kerr County,49641.0,10.0
8402,48291.0,2011.0,1,TX,Liberty County,75990.0,10.0
8408,48303.0,2011.0,1,TX,Lubbock County,283408.0,21.0
8423,48329.0,2011.0,1,TX,Midland County,140224.0,14.0
8430,48339.0,2011.0,1,TX,Montgomery County,471415.0,42.0
8441,48355.0,2011.0,1,TX,Nueces County,343263.0,58.0
8446,48361.0,2011.0,1,TX,Orange County,82341.0,16.0
8453,48373.0,2011.0,1,TX,Polk County,45580.0,10.0
8455,48375.0,2011.0,1,TX,Potter County,122305.0,12.0
8480,48423.0,2011.0,1,TX,Smith County,212764.0,20.0
8490,48439.0,2011.0,1,TX,Tarrant County,1847882.0,172.0
8494,48441.0,2011.0,1,TX,Taylor County,132853.0,14.0
8501,48453.0,2011.0,1,TX,Travis County,1061709.0,150.0
8512,48469.0,2011.0,1,TX,Victoria County,87557.0,11.0
8518,48479.0,2011.0,1,TX,Webb County,255935.0,19.0
8523,48485.0,2011.0,1,TX,Wichita County,130803.0,18.0
8528,48491.0,2011.0,1,TX,Williamson County,442031.0,31.0
8541,53005.0,2011.0,1,WA,Benton County,180436.0,16.0
8544,53007.0,2011.0,1,WA,Chelan County,73214.0,10.0
8549,53011.0,2011.0,1,WA,Clark County,432283.0,55.0
8554,53015.0,2011.0,1,WA,Cowlitz County,102309.0,27.0
8563,53027.0,2011.0,1,WA,Grays Harbor County,72366.0,10.0
8573,53053.0,2011.0,1,WA,Pierce County,807623.0,128.0
8579,53057.0,2011.0,1,WA,Skagit County,117578.0,15.0
8583,53061.0,2011.0,1,WA,Snohomish County,722068.0,168.0
8587,53063.0,2011.0,1,WA,Spokane County,473436.0,73.0
8592,53067.0,2011.0,1,WA,Thurston County,256386.0,27.0
8600,55009.0,2011.0,1,WI,Brown County,250481.0,22.0
8611,55025.0,2011.0,1,WI,Dane County,496009.0,79.0
8634,55059.0,2011.0,1,WI,Kenosha County,166835.0,23.0
8649,55079.0,2011.0,1,WI,Milwaukee County,951324.0,162.0
8650,55101.0,2011.0,1,WI,Racine County,194908.0,17.0
8654,55105.0,2011.0,1,WI,Rock County,159867.0,23.0
8658,55111.0,2011.0,1,WI,Sauk County,62236.0,10.0
8668,55127.0,2011.0,1,WI,Walworth County,102643.0,12.0
8671,55131.0,2011.0,1,WI,Washington County,132337.0,13.0
8674,55133.0,2011.0,1,WI,Waukesha County,390837.0,42.0
8679,55139.0,2011.0,1,WI,Winnebago County,167493.0,21.0
8686,4003.0,2012.0,1,AZ,Cochise County,132017.0,15.0
8696,4013.0,2012.0,1,AZ,Maricopa County,3947505.0,630.0
8703,4015.0,2012.0,1,AZ,Mohave County,203347.0,65.0
8707,4017.0,2012.0,1,AZ,Navajo County,107313.0,17.0
8711,4019.0,2012.0,1,AZ,Pima County,993052.0,213.0
8717,4021.0,2012.0,1,AZ,Pinal County,382251.0,38.0
8721,4025.0,2012.0,1,AZ,Yavapai County,211990.0,66.0
8726,4027.0,2012.0,1,AZ,Yuma County,202475.0,32.0
8729,8001.0,2012.0,1,CO,Adams County,460558.0,91.0
8735,8005.0,2012.0,1,CO,Arapahoe County,596500.0,78.0
8742,8013.0,2012.0,1,CO,Boulder County,304570.0,34.0
8755,8031.0,2012.0,1,CO,Denver County,635163.0,120.0
8761,8035.0,2012.0,1,CO,Douglas County,298708.0,20.0
8766,8041.0,2012.0,1,CO,El Paso County,646003.0,96.0
8776,8059.0,2012.0,1,CO,Jefferson County,546602.0,75.0
8784,8069.0,2012.0,1,CO,Larimer County,310842.0,31.0
8790,8077.0,2012.0,1,CO,Mesa County,147317.0,14.0
8804,8101.0,2012.0,1,CO,Pueblo County,160721.0,34.0
8816,8123.0,2012.0,1,CO,Weld County,264131.0,19.0
8827,20015.0,2012.0,1,KS,Butler County,65669.0,10.0
8843,20045.0,2012.0,1,KS,Douglas County,113313.0,11.0
8867,20091.0,2012.0,1,KS,Johnson County,559428.0,40.0
8912,20173.0,2012.0,1,KS,Sedgwick County,504101.0,69.0
8917,20177.0,2012.0,1,KS,Shawnee County,178975.0,13.0
8935,20209.0,2012.0,1,KS,Wyandotte County,159379.0,15.0
8940,22005.0,2012.0,1,LA,Ascension Parish,112218.0,12.0
8947,22017.0,2012.0,1,LA,Caddo Parish,257252.0,14.0
8950,22019.0,2012.0,1,LA,Calcasieu Parish,194479.0,22.0
8958,22033.0,2012.0,1,LA,East Baton Rouge Parish,442955.0,28.0
8969,22051.0,2012.0,1,LA,Jefferson Parish,433954.0,84.0
8973,22055.0,2012.0,1,LA,Lafayette Parish,227298.0,31.0
8975,22057.0,2012.0,1,LA,Lafourche Parish,97177.0,12.0
8978,22063.0,2012.0,1,LA,Livingston Parish,131478.0,24.0
8983,22071.0,2012.0,1,LA,Orleans Parish,369787.0,65.0
8986,22073.0,2012.0,1,LA,Ouachita Parish,155256.0,17.0
9002,22103.0,2012.0,1,LA,St. Tammany Parish,239064.0,40.0
9007,22109.0,2012.0,1,LA,Terrebonne Parish,111708.0,18.0
9012,22117.0,2012.0,1,LA,Washington Parish,46676.0,10.0
9035,28033.0,2012.0,1,MS,DeSoto County,166426.0,13.0
9044,28047.0,2012.0,1,MS,Harrison County,193540.0,38.0
9052,28059.0,2012.0,1,MS,Jackson County,139949.0,25.0
9078,28109.0,2012.0,1,MS,Pearl River County,54999.0,10.0
9085,28121.0,2012.0,1,MS,Rankin County,145809.0,18.0
9114,40013.0,2012.0,1,OK,Bryan County,43453.0,12.0
9120,40019.0,2012.0,1,OK,Carter County,48023.0,15.0
9125,40027.0,2012.0,1,OK,Cleveland County,266150.0,44.0
9133,40037.0,2012.0,1,OK,Creek County,70760.0,11.0
9142,40051.0,2012.0,1,OK,Grady County,53026.0,18.0
9158,40079.0,2012.0,1,OK,Le Flore County,50343.0,10.0
9164,40089.0,2012.0,1,OK,McCurtain County,33345.0,10.0
9171,40101.0,2012.0,1,OK,Muskogee County,70529.0,12.0
9176,40109.0,2012.0,1,OK,Oklahoma County,743403.0,179.0
9181,40111.0,2012.0,1,OK,Okmulgee County,39551.0,10.0
9187,40121.0,2012.0,1,OK,Pittsburg County,45544.0,14.0
9190,40125.0,2012.0,1,OK,Pottawatomie County,70512.0,11.0
9197,40137.0,2012.0,1,OK,Stephens County,44881.0,16.0
9202,40143.0,2012.0,1,OK,Tulsa County,615181.0,108.0
9205,40145.0,2012.0,1,OK,Wagoner County,74984.0,15.0
9224,48027.0,2012.0,1,TX,Bell County,324963.0,26.0
9227,48029.0,2012.0,1,TX,Bexar County,1788738.0,193.0
9234,48039.0,2012.0,1,TX,Brazoria County,324224.0,36.0
9247,48061.0,2012.0,1,TX,Cameron County,415877.0,15.0
9261,48085.0,2012.0,1,TX,Collin County,835230.0,66.0
9268,48091.0,2012.0,1,TX,Comal County,114873.0,12.0
9281,48113.0,2012.0,1,TX,Dallas County,2455930.0,265.0
9291,48121.0,2012.0,1,TX,Denton County,707892.0,46.0
9300,48135.0,2012.0,1,TX,Ector County,144495.0,13.0
9305,48141.0,2012.0,1,TX,El Paso County,832310.0,47.0
9315,48157.0,2012.0,1,TX,Fort Bend County,624824.0,16.0
9322,48167.0,2012.0,1,TX,Galveston County,301049.0,36.0
9330,48181.0,2012.0,1,TX,Grayson County,121854.0,15.0
9334,48187.0,2012.0,1,TX,Guadalupe County,139641.0,10.0
9341,48199.0,2012.0,1,TX,Hardin County,55122.0,11.0
9343,48201.0,2012.0,1,TX,Harris County,4263094.0,366.0
9354,48215.0,2012.0,1,TX,Hidalgo County,808334.0,16.0
9371,48245.0,2012.0,1,TX,Jefferson County,251605.0,30.0
9376,48251.0,2012.0,1,TX,Johnson County,153415.0,13.0
9381,48257.0,2012.0,1,TX,Kaufman County,106553.0,12.0
9402,48303.0,2012.0,1,TX,Lubbock County,285961.0,19.0
9407,48309.0,2012.0,1,TX,McLennan County,239368.0,20.0
9425,48339.0,2012.0,1,TX,Montgomery County,484565.0,33.0
9435,48355.0,2012.0,1,TX,Nueces County,347939.0,49.0
9440,48361.0,2012.0,1,TX,Orange County,82887.0,14.0
9444,48367.0,2012.0,1,TX,Parker County,119482.0,16.0
9453,48381.0,2012.0,1,TX,Randall County,124975.0,12.0
9477,48423.0,2012.0,1,TX,Smith County,214811.0,16.0
9486,48439.0,2012.0,1,TX,Tarrant County,1882205.0,182.0
9490,48441.0,2012.0,1,TX,Taylor County,134084.0,12.0
9498,48453.0,2012.0,1,TX,Travis County,1096886.0,155.0
9508,48467.0,2012.0,1,TX,Van Zandt County,52207.0,11.0
9515,48479.0,2012.0,1,TX,Webb County,260595.0,29.0
9520,48485.0,2012.0,1,TX,Wichita County,131701.0,18.0
9525,48491.0,2012.0,1,TX,Williamson County,455750.0,28.0
9538,53005.0,2012.0,1,WA,Benton County,182373.0,16.0
9543,53009.0,2012.0,1,WA,Clallam County,71766.0,12.0
9546,53011.0,2012.0,1,WA,Clark County,436361.0,62.0
9552,53033.0,2012.0,1,WA,King County,2011197.0,261.0
9558,53035.0,2012.0,1,WA,Kitsap County,254339.0,20.0
9566,53045.0,2012.0,1,WA,Mason County,60681.0,14.0
9573,53053.0,2012.0,1,WA,Pierce County,815535.0,109.0
9583,53073.0,2012.0,1,WA,Whatcom County,204863.0,13.0
9587,53077.0,2012.0,1,WA,Yakima County,246127.0,25.0
9594,55009.0,2012.0,1,WI,Brown County,252682.0,21.0
9604,55025.0,2012.0,1,WI,Dane County,502902.0,70.0
9615,55039.0,2012.0,1,WI,Fond du Lac County,101788.0,11.0
9626,55079.0,2012.0,1,WI,Milwaukee County,954595.0,181.0
9642,55101.0,2012.0,1,WI,Racine County,194594.0,25.0
9646,55105.0,2012.0,1,WI,Rock County,160065.0,22.0
9660,55127.0,2012.0,1,WI,Walworth County,102871.0,13.0
9664,55131.0,2012.0,1,WI,Washington County,132732.0,15.0
9666,55133.0,2012.0,1,WI,Waukesha County,392810.0,41.0
9672,55139.0,2012.0,1,WI,Winnebago County,168525.0,21.0
9678,4003.0,2013.0,1,AZ,Cochise County,129578.0,11.0
9681,4005.0,2013.0,1,AZ,Coconino County,136699.0,23.0
9685,4007.0,2013.0,1,AZ,Gila County,53005.0,12.0
9691,4013.0,2013.0,1,AZ,Maricopa County,4017723.0,705.0
9698,4015.0,2013.0,1,AZ,Mohave County,203126.0,61.0
9702,4017.0,2013.0,1,AZ,Navajo County,107135.0,22.0
9706,4019.0,2013.0,1,AZ,Pima County,997127.0,209.0
9711,4021.0,2013.0,1,AZ,Pinal County,385398.0,41.0
9715,4025.0,2013.0,1,AZ,Yavapai County,214421.0,65.0
9720,4027.0,2013.0,1,AZ,Yuma County,202420.0,22.0
9723,8001.0,2013.0,1,CO,Adams County,469978.0,78.0
9728,8005.0,2013.0,1,CO,Arapahoe County,608467.0,97.0
9735,8013.0,2013.0,1,CO,Boulder County,309323.0,54.0
9748,8031.0,2013.0,1,CO,Denver County,649391.0,116.0
9754,8035.0,2013.0,1,CO,Douglas County,306234.0,27.0
9760,8041.0,2013.0,1,CO,El Paso County,655209.0,107.0
9771,8059.0,2013.0,1,CO,Jefferson County,552031.0,75.0
9779,8069.0,2013.0,1,CO,Larimer County,316225.0,58.0
9786,8077.0,2013.0,1,CO,Mesa County,147175.0,14.0
9800,8101.0,2013.0,1,CO,Pueblo County,161033.0,33.0
9812,8123.0,2013.0,1,CO,Weld County,270165.0,20.0
9823,20015.0,2013.0,1,KS,Butler County,65671.0,11.0
9839,20045.0,2013.0,1,KS,Douglas County,114713.0,10.0
9863,20091.0,2013.0,1,KS,Johnson County,566351.0,49.0
9872,20103.0,2013.0,1,KS,Leavenworth County,78082.0,10.0
9899,20155.0,2013.0,1,KS,Reno County,64079.0,10.0
9909,20173.0,2013.0,1,KS,Sedgwick County,506442.0,61.0
9934,22005.0,2013.0,1,LA,Ascension Parish,114636.0,22.0
